post_id,timestamp,username,post_type,topic,content_length,likes,shares,comments,engagement_rate,account_age_days,posts_per_day,avg_post_interval,follower_count,following_count,verified,sentiment_score,toxicity_score,contains_hashtags,contains_links,language,is_anomaly,anomaly_type
d5398b15-e6f9-4db2-8beb-2de5b7dd807b,2025-02-27 13:58:23,user_392,image,health,164,33,4,12,0.242,1487,4.53,986,74032,2915,0,-0.83,0.77,1,1,en,0,
5547d3a5-849f-4a3d-9803-8815c9e1c1eb,2025-06-03 17:15:23,user_394,video,entertainment,133,28,5,9,0.407,1144,7.97,1050,7509,2156,0,0.29,0.37,0,1,zh,0,
0eb3c6b7-3140-41ab-8fd8-ce0b4fdb0f67,2025-06-19 10:23:23,user_455,video,health,172,31,4,13,0.497,2193,7.96,732,90595,1868,0,-0.21,0.61,0,1,de,0,
1ddd22c1-9276-4e8b-88d7-7afecd2171c5,2025-02-08 23:46:23,user_46,image,sports,216,32,2,14,0.332,2154,2.12,1015,38095,2394,0,0.31,0.69,1,0,en,0,
5c3c212f-c5f3-47e8-b053-774bc692df49,2025-05-04 22:02:23,user_230,video,memes,128,33,6,8,0.18,1695,0.67,62,20206,2663,0,0.31,0.82,1,1,en,0,
688194d8-aae3-401c-8695-a830f81649b4,2025-05-10 09:43:23,user_211,video,entertainment,128,24,2,5,0.132,2766,9.19,1235,72884,3049,0,-0.02,0.8,0,1,en,0,
c82e46fe-d827-4369-b555-da2f36e52ca7,2025-05-14 08:26:23,user_389,text,education,218,29,6,14,0.011,278,7.81,641,86156,152,1,-0.59,0.98,0,0,en,0,
08258ba3-5e5b-4e02-9b28-236e6c939a85,2025-05-29 14:00:23,user_189,link,entertainment,178,28,5,14,0.446,3541,0.51,1337,86371,2454,0,0.4,0.19,1,0,en,0,
68aec213-5b1b-4b9d-96ed-8dc0c6af129b,2025-02-09 21:58:23,user_676,image,finance,116,32,4,11,0.168,65,8.61,240,98426,4250,0,0.36,0.93,1,0,en,0,
470a7027-6b57-4aa8-8394-f515c517ae84,2025-06-05 07:51:23,user_442,image,finance,167,30,2,3,0.03,2250,7.04,978,96343,2232,0,-0.48,0.66,1,0,en,0,
25be5a8d-1f14-4932-b1c5-3678bb406374,2025-02-20 19:07:23,user_546,image,memes,116,19,9,10,0.011,2892,2.28,691,68517,2092,0,-0.81,0.01,1,0,en,0,
4915f949-9881-4975-8cfb-56e9aa8eda4a,2025-02-09 03:38:23,user_54,image,entertainment,116,33,4,10,0.128,3541,3.94,631,20500,3479,0,0.47,0.49,0,0,de,0,
a6ef9710-a22b-4dfe-80b9-c514b363e0af,2025-01-12 13:40:23,user_677,video,technology,152,29,7,10,0.431,2536,7.96,81,30151,800,0,0.1,0.41,1,0,fr,0,
2ad08019-e16b-4961-9cc8-979bdc061a33,2025-03-16 16:55:23,user_313,text,memes,44,36,14,11,0.456,1570,6.84,674,11826,2692,0,0.09,0.42,0,1,en,0,
508ec4e1-8bd9-4ee6-862b-47c67068e410,2025-06-08 03:49:23,user_33,text,sports,53,32,7,9,0.17,1713,0.66,1050,51266,2177,1,-0.29,0.74,1,1,en,0,
4c506fc6-4a0f-4d10-9e94-5d8812fe815b,2025-03-08 11:45:23,user_555,image,education,111,29,5,12,0.243,3497,9.12,869,41204,1413,0,0.91,0.14,0,0,en,0,
c94b503a-6d8d-4a47-bdf1-900180752ad2,2025-04-08 04:15:23,user_782,video,entertainment,89,31,6,12,0.404,2209,6.97,15,96941,4713,0,0.68,0.95,1,0,fr,0,
33aa6e09-896f-4bd6-b8ce-0dbbab4addd0,2025-06-18 04:48:23,user_357,link,finance,155,38,6,8,0.063,873,1.56,783,85175,51,0,0.28,0.14,0,0,en,0,
2bb7037a-0882-4334-acf0-529d2bb3a4e9,2025-06-18 13:28:23,user_960,image,memes,94,40,2,7,0.036,1815,6.87,474,70163,2506,0,0.89,0.9,1,0,en,0,spam
c94b6dad-e025-4b28-b600-59c76a2f0f77,2025-06-06 22:18:23,user_27,video,technology,69,16,2,9,0.177,68,5.95,760,67531,1043,0,0.07,0.1,1,1,en,0,
fe253732-9a97-4447-9d4a-5d09e5b3d4a6,2025-05-15 04:25:23,user_932,link,education,213,27,9,9,0.095,1386,2.27,655,64539,3581,1,0.26,0.92,1,0,es,0,
030a102e-8dfa-4a79-af13-542a646931cb,2025-05-12 15:09:23,user_624,image,sports,128,28,7,13,0.188,355,1.63,725,12263,3603,0,0.82,0.12,1,1,fr,0,
02a659cc-70a8-4538-a201-536131409c89,2025-03-23 23:44:23,user_773,link,sports,143,30,3,16,0.369,2573,1.7,1253,41810,4577,0,-0.45,0.68,0,0,en,0,engagement_spike
a0e8043a-44aa-4830-ba20-8f28b388b988,2025-03-06 09:24:23,user_915,image,finance,68,34,7,16,0.151,1823,2.02,1258,77914,525,1,0.9,0.8,0,1,en,0,
80ce6ed0-6903-4ae3-a3c4-132ab1a2ac28,2025-06-19 03:43:23,user_345,video,finance,112,25,4,15,0.317,1362,7.89,1083,51838,1926,0,0.78,0.33,1,1,en,0,
8d97c504-bc64-42b5-9c34-af6900b6f42d,2025-03-13 19:32:23,user_945,image,entertainment,145,27,3,5,0.251,2983,2.73,1278,41843,2840,0,0.55,0.99,1,0,en,0,
123249ff-d105-4e5a-ab65-ef8d8f2288e2,2025-05-18 18:55:23,user_849,text,entertainment,82,29,3,10,0.427,3445,1.58,1200,95554,1449,0,-0.35,0.88,1,1,de,0,
fd7ee8b0-d4eb-42c9-8bbe-680820c9dedd,2025-02-13 15:19:23,user_930,text,education,158,28,2,13,0.184,2097,5.52,890,39501,2992,0,-0.65,0.47,1,1,en,0,
e33a05f9-d16c-430e-946f-bc46791083f4,2025-02-25 16:16:23,user_269,image,entertainment,109,47,3,14,0.316,648,5.45,780,19838,1136,0,-0.8,0.87,1,0,en,0,
780bc2ae-43a1-4aea-899a-62e78504e457,2025-02-16 07:31:23,user_830,image,technology,125,36,0,11,0.253,1492,9.82,1126,57530,1196,0,-0.96,0.57,0,0,fr,0,
4649a074-7428-4c92-bcec-25e2fa2b33ea,2025-03-16 18:46:23,user_772,image,politics,109,34,10,7,0.048,1120,7.1,77,34676,4767,0,0.46,0.98,1,1,en,0,
64474ef5-86fd-4fe7-a48d-b38fed115ef3,2025-04-08 14:45:23,user_606,video,education,232,28,7,4,0.185,1384,1.65,1225,84129,910,0,0.95,0.91,1,0,en,0,
dc458d68-7ccd-41f4-9696-f9f916e5c318,2025-05-14 20:32:23,user_222,text,memes,139,26,4,8,0.084,904,1.5,1156,2645,4856,0,0.06,0.72,1,0,en,0,
2aeaf420-731d-4744-8600-bbbdabc75dcd,2025-04-03 05:02:23,user_776,video,finance,87,24,8,9,0.023,652,8.22,166,98470,3844,0,0.65,0.44,1,0,en,0,
e780d362-03dc-41d6-bd31-91bffd1f19f2,2025-03-08 17:07:23,user_29,image,sports,181,34,4,3,0.103,3068,9.09,247,62987,1398,0,0.88,0.47,0,1,es,0,
5f8d8965-2e48-4229-b71c-cd56baee08f6,2025-05-04 08:13:23,user_350,text,politics,78,29,6,9,0.214,1482,4.1,1428,2479,2385,0,0.59,0.01,1,1,de,0,
aa05af55-b1a6-4136-ab86-e198810a2802,2025-01-27 15:12:23,user_744,text,politics,150,34,5,9,0.318,758,3.53,1139,62464,3893,0,0.85,0.89,1,0,en,0,
2580839c-137d-4f31-ad8d-e5eb5ac7aad0,2025-01-16 17:38:23,user_850,link,finance,42,21,3,12,0.058,956,5.38,567,44153,1978,0,0.79,0.85,1,0,en,0,
8a24d009-bd13-4313-b27b-c3b5558a4b82,2025-06-22 19:16:23,user_637,link,technology,73,34,4,12,0.418,2078,9.27,676,68546,2252,0,-0.04,0.62,1,0,en,1,
516fcedd-0d99-4f7a-8453-a61a6deeab3b,2025-02-05 20:23:23,user_445,image,entertainment,149,23,3,10,0.346,3465,9.97,1125,37803,1306,0,-0.3,0.5,0,0,en,0,
2b13dc71-5faa-4b3c-a9b9-f80c85bc307a,2025-01-28 06:59:23,user_887,link,memes,176,37,3,11,0.271,3490,4.74,866,95264,2505,0,-0.2,0.28,1,1,en,0,
0d04a7f4-7a27-4c4c-8fbb-6831cb6279a7,2025-05-25 22:06:23,user_438,text,sports,148,29,2,11,0.175,2495,5.61,1168,17167,4691,0,0.87,0.79,1,0,en,0,
e417dfe7-b3c0-4ab3-b033-124550ddd84e,2025-02-16 21:26:23,user_802,image,technology,134,27,2,10,0.475,184,3.67,602,12539,2397,0,0.85,0.66,1,0,en,0,
817c437f-1bd2-42f0-9e44-b17b4ace7f9c,2025-04-08 01:14:23,user_747,link,health,124,25,7,9,0.481,1029,0.93,273,692,2023,0,0.65,0.28,0,1,en,0,
6ae0c0ab-6c75-47a0-b8f1-4d6890d9153e,2025-04-23 01:05:23,user_951,link,politics,66,21,3,8,0.224,2101,3.63,1162,42632,415,0,0.57,0.92,1,0,es,0,
8ee18656-2461-4581-a7d7-306065ce9331,2025-05-04 09:37:23,user_754,text,health,104,30,6,9,0.457,597,2.93,280,99994,2847,0,-0.33,0.52,1,0,es,0,
795cea06-be59-424f-bd8e-dd573c2a9d04,2025-05-26 16:21:23,user_771,video,memes,116,29,5,12,0.014,2587,2.14,742,94303,2471,0,-0.99,0.38,1,0,zh,0,
e1bcf9e0-0dc8-4114-9cfd-d27bbf17dc9a,2025-05-15 18:56:23,user_59,video,memes,192,29,3,14,0.233,1163,1.73,506,60024,4262,0,0.52,0.64,1,1,en,0,
6b85b456-29c8-4e08-85ad-411ab66be0d8,2024-12-31 17:32:23,user_827,text,finance,157,38,6,8,0.335,2269,7.95,736,34810,3262,0,0.28,0.88,1,1,fr,0,
ea3ca184-f834-4622-aaab-c1c35d88aaaf,2025-02-04 23:54:23,user_112,video,education,51,20,5,9,0.375,2956,4.4,1390,98926,2089,0,0.12,0.79,0,0,en,0,
0e5b2121-45e3-4b4b-a697-040d77884574,2025-04-23 17:03:23,user_567,link,education,156,32,5,7,0.285,3636,0.32,587,75755,4104,0,-0.17,0.65,1,0,de,0,
894dd803-8886-4a4a-b100-62ee7fa567cd,2025-06-05 09:06:23,user_398,image,technology,120,35,7,8,0.329,2365,5.2,1220,58737,3706,0,-0.85,0.54,1,0,en,0,
21138760-d56a-4858-acd5-efb6921b52b8,2025-06-07 02:27:23,user_976,image,memes,106,32,5,4,0.289,770,4.68,986,35303,4912,0,0.41,0.39,0,0,en,0,
b816bd65-e4ba-4822-b787-2caa5d09b3ce,2025-04-15 19:44:23,user_739,text,politics,170,44,6,6,0.218,1231,0.52,1172,23769,2910,0,-0.51,0.5,0,0,en,0,
cb465eb2-295f-4e1e-9e88-1c01ff1378d7,2025-06-06 09:06:23,user_955,link,technology,191,31,9,7,0.127,693,4.6,895,17416,4205,0,-0.12,0.61,1,1,en,0,
4ecf8732-d017-4c31-ae96-9adebcfec986,2025-04-19 15:15:23,user_695,video,memes,186,34,7,12,0.465,1322,3.8,162,15610,2427,0,0.86,0.69,0,0,en,0,
6026ae32-10b2-491b-9b86-30e1ca80767a,2025-01-20 16:54:23,user_295,text,memes,98,29,6,8,0.4,143,6.56,1414,16484,2744,0,-0.88,0.89,1,0,en,0,
8300b025-f6b0-4754-b354-bcbcf5670d9d,2025-04-22 08:54:23,user_880,text,sports,124,32,4,9,0.297,3185,5.24,715,48923,568,1,0.49,0.24,1,0,en,0,
144bf4f8-a055-4f1b-8f3c-e8694e71cd60,2025-03-06 01:56:23,user_961,image,sports,156,25,6,8,0.074,1627,3.44,466,70816,3860,0,-0.3,0.27,1,1,de,0,
